feature,weight
husband,11.695805873967382
lmao,6.4135891076419504
boyfriend,5.385676058704917
thank,5.383045893734443
baby,4.743856667826561
child,4.66899452072866
bc,4.396434782603903
men,4.387688974649028
omg,4.341465882104769
feel,4.339556089922906
hair,3.766516039268403
children,3.707536034104389
love,3.6722528306231834
surgery,3.5458362785697477
kids,3.48537558934596
lol,3.4195538926577655
bf,3.3968470007686493
lt,3.2698372117345507
pregnant,3.2627507753859035
really,3.2153526781376622
